time,memory usage,updateQueue,friendsUpdateQueue,followersUpdateQueue,favoriteTweetUpdateQueue,userHarvestQueue,hashtagHarvestQueue,tweetUpdateQueue,twRetweetUpdateQueue
6,46518272,44,0,7,0,6,0,0,11
11,56516608,92,0,7,0,6,0,0,24
16,64094208,171,0,7,0,6,0,0,31
22,84561920,248,0,7,0,6,0,0,5201
27,88584192,247,0,7,0,6,0,0,10000
32,90173440,217,0,7,0,6,0,0,10000
37,92315648,1188,0,7,0,6,0,0,10000
42,94048256,1158,0,7,0,6,0,0,10000
47,96616448,1128,0,7,0,6,0,0,10000
52,100196352,2098,0,7,0,6,0,0,10000
57,105312256,2092,0,7,0,6,0,0,10000
62,106983424,2092,0,7,0,6,0,0,10000
67,108593152,2092,0,7,0,6,0,0,10000
72,117870592,2076,0,7,0,6,0,8689,10000
77,119836672,3047,0,7,0,6,0,9996,10000
82,120360960,3017,0,7,0,6,0,9996,10000
87,121307136,2987,0,7,0,6,0,9997,10000
92,122363904,3957,0,7,0,6,0,9997,10000
97,122335232,3927,0,7,0,6,0,9997,10000
102,122486784,4897,0,7,0,6,0,9997,10000
107,122486784,4867,0,7,0,6,0,9997,10000
112,122486784,4837,0,7,0,6,0,9997,10000
117,122945536,5807,0,7,0,6,0,9997,10000
122,125972480,5793,0,7,0,6,0,10000,10000
127,127434752,5792,0,7,0,6,0,10000,10000
132,128450560,6787,0,7,0,6,0,10000,10000
137,128704512,6767,0,7,0,6,0,9999,10000
142,128749568,6737,0,7,0,6,0,9998,10000
147,128761856,7707,0,7,0,6,0,9998,10000
152,128806912,7677,0,7,0,6,0,9998,10000
157,129150976,8647,0,7,0,6,0,9998,10000
162,129150976,8617,0,7,0,6,0,9998,10000
167,129294336,9587,0,7,0,6,0,9998,10000
172,129294336,9557,0,7,0,6,0,9998,10000
177,129490944,9994,0,7,0,6,0,9998,10000
182,130785280,9997,0,7,0,6,0,9998,10000
187,133734400,9998,0,7,0,6,0,9999,10000
192,136044544,9998,0,7,0,6,0,10000,10000
197,136278016,9996,0,7,0,6,0,10000,10000
202,137154560,9994,0,7,0,6,0,9999,10000
207,137154560,9994,0,7,0,6,0,9997,10000
212,137183232,9994,0,7,0,6,0,9998,10000
217,137183232,9994,0,7,0,6,0,9998,10000
222,137261056,9994,0,7,0,6,0,9998,10000
227,137265152,9994,0,7,0,6,0,9998,10000
232,137265152,9994,0,7,0,6,0,9998,10000
237,137265152,9994,0,7,0,6,0,9998,10000
242,138330112,9996,0,7,0,6,0,9998,10000
247,138989568,9998,0,7,0,6,0,9998,10000
252,142573568,10000,0,7,0,6,0,9999,10000
257,142897152,9996,0,7,0,6,0,10000,10000
262,143179776,9996,0,7,0,6,0,10000,10000
267,143622144,9995,0,7,0,6,0,9998,10000
272,151998464,9995,0,7,0,6,0,9998,10000
277,153690112,9978,0,7,0,6,0,9998,10000
282,155287552,9948,0,7,0,6,0,9998,10000
287,157401088,9918,0,7,0,6,0,9998,10000
292,160129024,10000,0,7,0,6,0,9998,10000
297,162476032,10000,0,7,0,6,0,9998,10000
302,164892672,10000,0,7,0,6,0,9998,10000
307,168230912,10000,0,7,0,6,0,9998,10000
312,169148416,10000,0,7,0,6,0,9998,10000
317,171683840,10000,0,7,0,6,0,10000,10000
322,172601344,10000,0,7,0,6,0,10000,10000
327,173281280,10000,0,7,0,6,0,10000,10000
332,174178304,10000,0,7,0,6,0,9998,10000
337,175149056,10000,0,7,0,6,0,9998,10000
342,176467968,9994,0,7,0,6,0,9998,10000
347,178049024,9994,0,7,0,6,0,9998,10000
352,179228672,9994,0,7,0,6,0,9998,10000
357,180342784,9994,0,7,0,6,0,9998,10000
362,181456896,9994,0,7,0,6,0,9998,10000
367,180047872,9995,0,6,0,6,0,9998,10000
372,180342784,10000,0,6,0,6,0,9998,10000
377,180617216,10000,0,6,0,6,0,9998,10000
382,180645888,9999,0,6,0,6,0,10000,10000
387,180977664,9999,0,6,0,6,0,10000,10000
392,180977664,9999,0,6,0,6,0,10000,10000
397,181010432,9999,0,6,0,6,0,9998,10000
402,181010432,9999,0,6,0,6,0,9998,10000
407,181010432,9999,0,6,0,6,0,9998,10000
412,181010432,10000,0,6,0,6,0,9998,10000
417,181010432,10000,0,6,0,6,0,9998,10000
422,181010432,10000,0,6,0,6,0,9998,10000
427,181030912,10000,0,6,0,6,0,9998,10000
432,181555200,10000,0,6,0,6,0,9998,10000
437,181567488,9999,0,6,0,6,0,9998,10000
442,181567488,10000,0,6,0,6,0,9998,10000
447,182018048,10000,0,6,0,6,0,10000,10000
452,182018048,10000,0,6,0,6,0,10000,10000
457,182018048,10000,0,6,0,6,0,10000,10000
462,182018048,10000,0,6,0,6,0,9998,10000
467,182034432,10000,0,6,0,6,0,9998,10000
472,182034432,10000,0,6,0,6,0,9998,10000
477,182034432,10000,0,6,0,6,0,9998,10000
482,182034432,10000,0,6,0,6,0,9998,10000
487,182067200,10000,0,6,0,6,0,9998,10000
492,183042048,10000,0,6,0,6,0,9998,10000
497,183042048,10000,0,6,0,6,0,9998,10000
502,183042048,10000,0,6,0,6,0,9998,10000
507,183074816,10000,0,6,0,6,0,9998,10000
512,183521280,10000,0,6,0,6,0,10000,10000
517,183521280,10000,0,6,0,6,0,10000,10000
522,183521280,10000,0,6,0,6,0,10000,10000
527,183521280,10000,0,6,0,6,0,9999,10000
532,183521280,10000,0,6,0,6,0,9999,10000
537,183586816,10000,0,6,0,6,0,9999,10000
542,183586816,10000,0,6,0,6,0,9999,10000
547,183586816,10000,0,6,0,6,0,9999,10000
552,184811520,10000,0,6,0,6,0,9999,10000
557,184778752,10000,0,6,0,6,0,9999,10000
562,184778752,10000,0,6,0,6,0,10000,10000
567,184778752,10000,0,6,0,6,0,10000,10000
572,185081856,10000,0,6,0,6,0,10000,10000
577,185278464,10000,0,6,0,6,0,10000,10000
582,185311232,10000,0,6,0,6,0,10000,10000
587,185810944,10000,0,6,0,6,0,10000,10000
592,185810944,10000,0,6,0,6,0,10000,10000
597,185810944,10000,0,6,0,6,0,9999,10000
602,185810944,10000,0,6,0,6,0,9998,10000
607,185810944,10000,0,6,0,6,0,9998,10000
612,186949632,10000,0,6,0,6,0,9998,10000
617,187674624,10000,0,6,0,6,0,9998,10000
622,187674624,10000,0,6,0,6,0,9998,10000
627,187674624,10000,0,6,0,6,0,9998,10000
632,187674624,10000,0,6,0,6,0,9998,10000
637,188071936,10000,0,6,0,6,0,9998,10000
642,188076032,10000,0,6,0,6,0,9998,10000
647,188207104,10000,0,6,0,6,0,9999,10000
652,188207104,10000,0,6,0,6,0,10000,10000
657,188207104,10000,0,6,0,6,0,10000,10000
662,188207104,10000,0,6,0,6,0,9999,10000
667,188207104,10000,0,6,0,6,0,9999,10000
672,188952576,10000,0,6,0,6,0,9999,10000
677,190038016,10000,0,6,0,6,0,9999,10000
682,190038016,10000,0,6,0,6,0,9999,10000
687,190038016,10000,0,6,0,6,0,9999,10000
692,190038016,10000,0,6,0,6,0,9999,10000
697,190967808,10000,0,6,0,6,0,9999,10000
702,190967808,10000,0,6,0,6,0,9999,10000
707,190984192,10000,0,6,0,6,0,9999,10000
