time,memory usage,updateQueue,friendsUpdateQueue,followersUpdateQueue,favoriteTweetUpdateQueue,userHarvestQueue,hashtagHarvestQueue,tweetUpdateQueue,twRetweetUpdateQueue
7,54005760,0,0,0,0,0,0,0,0
12,72396800,0,0,0,0,0,0,0,1
18,72413184,0,0,0,0,0,0,0,9651
23,81084416,0,0,0,0,0,0,0,20299
29,95260672,0,0,0,0,0,0,0,29764
34,109322240,7056,0,0,0,0,0,8757,29758
40,122273792,9702,0,0,0,0,0,27590,29753
45,128241664,9702,0,0,0,0,0,36956,29746
50,140750848,9702,0,0,0,0,0,36956,29739
55,142069760,19702,0,0,0,0,0,36956,29735
61,142901248,19702,0,0,0,0,0,36956,29728
66,144261120,19702,0,0,0,0,0,36856,29722
71,145575936,19702,0,0,0,0,0,36756,29713
76,151429120,19702,0,0,0,0,0,36756,29708
82,154423296,21768,0,0,0,0,0,36756,29702
87,158330880,29702,0,0,0,0,0,36756,29699
92,159195136,29702,0,0,0,0,0,36756,29690
98,159195136,29702,0,0,0,0,0,36756,29685
103,159821824,29702,0,0,0,0,0,36556,29682
108,161697792,29602,0,0,0,0,0,36556,29670
113,169709568,39602,0,0,0,0,0,36556,29660
118,173146112,39402,0,0,0,0,0,36556,29658
123,174018560,39402,0,0,0,0,0,36556,29658
129,174178304,39402,0,0,0,0,0,36556,29658
134,175108096,39402,0,0,0,0,0,36356,29657
139,176402432,39402,0,0,0,0,0,36356,29652
144,177475584,39402,0,0,0,0,0,36356,29649
149,179421184,39402,0,0,0,0,0,36356,29646
155,182861824,39402,0,0,0,0,0,36256,29638
160,187924480,46451,0,0,0,0,0,36256,29636
165,189206528,49402,0,0,0,0,0,36156,29632
170,189374464,49402,0,0,0,0,0,36156,29628
175,189534208,49402,0,0,0,0,0,36156,29623
181,189681664,49302,0,0,0,0,0,36156,29623
186,190009344,49302,0,0,0,0,0,36056,29623
191,190488576,49202,0,0,0,0,0,35956,29623
196,191193088,49102,0,0,0,0,0,35956,29623
201,192618496,49102,0,0,0,0,0,35956,29622
207,195534848,49102,0,0,0,0,0,35956,29621
212,199847936,59102,0,0,0,0,0,35956,29621
217,199868416,59102,0,0,0,0,0,35856,29621
222,200507392,59102,0,0,0,0,0,35756,29621
227,200654848,59102,0,0,0,0,0,35756,29621
233,200814592,59102,0,0,0,0,0,35756,29621
238,201039872,59102,0,0,0,0,0,35756,29621
243,201162752,59102,0,0,0,0,0,35756,29621
248,201322496,59102,0,0,0,0,0,35656,29621
254,202518528,59002,0,0,0,0,0,35656,29621
259,202653696,59002,0,0,0,0,0,35656,29621
264,202788864,59002,0,0,0,0,0,35656,29621
269,203313152,58802,0,0,0,0,0,35556,29621
274,203460608,58802,0,0,0,0,0,35556,29621
280,203595776,58802,0,0,0,0,0,35556,29621
285,203771904,58802,0,0,0,0,0,35556,29621
290,203935744,58802,0,0,0,0,0,35456,29621
296,204259328,58802,0,0,0,0,0,35356,29621
301,205459456,58802,0,0,0,0,0,35356,29621
306,208334848,58802,0,0,0,0,0,35356,29621
311,210956288,62977,0,0,0,0,0,35356,29621
317,213467136,68802,0,0,0,0,0,35356,29621
322,213594112,68702,0,0,0,0,0,35256,29621
328,214392832,68702,0,0,0,0,0,35256,29621
333,214597632,68702,0,0,0,0,0,35156,29621
338,214732800,68602,0,0,0,0,0,35156,29619
343,215105536,68502,0,0,0,0,0,35156,29619
348,215711744,68502,0,0,0,0,0,35156,29619
354,215990272,68502,0,0,0,0,0,35056,29619
359,216064000,68502,0,0,0,0,0,34956,29619
364,216100864,68502,0,0,0,0,0,34956,29619
369,216158208,68502,0,0,0,0,0,34956,29619
375,216707072,68502,0,0,0,0,0,34956,29619
380,216752128,68502,0,0,0,0,0,34956,29619
385,216952832,68502,0,0,0,0,0,34856,29619
390,217317376,68502,0,0,0,0,0,34756,29619
395,218226688,68402,0,0,0,0,0,34756,29619
401,220467200,68402,0,0,0,0,0,34756,29619
406,224022528,68402,0,0,0,0,0,34756,29619
411,226603008,78402,0,0,0,0,0,34656,29619
416,227172352,78202,0,0,0,0,0,34656,29619
422,227241984,78202,0,0,0,0,0,34656,29619
427,227315712,78202,0,0,0,0,0,34556,29619
432,227684352,78202,0,0,0,0,0,34556,29619
437,227876864,78202,0,0,0,0,0,34456,29618
442,227966976,78202,0,0,0,0,0,34456,29618
447,227966976,78202,0,0,0,0,0,34456,29618
453,228556800,78202,0,0,0,0,0,34356,29618
458,229240832,78202,0,0,0,0,0,34356,29616
463,229240832,78202,0,0,0,0,0,34356,29616
468,230354944,78102,0,0,0,0,0,34256,29616
474,230354944,78102,0,0,0,0,0,34256,29616
479,230469632,78102,0,0,0,0,0,34156,29616
484,230531072,78002,0,0,0,0,0,34156,29615
489,230592512,77902,0,0,0,0,0,34156,29615
495,230920192,77902,0,0,0,0,0,34056,29615
500,231129088,77902,0,0,0,0,0,34056,29615
